	Linear	regression	Scaling						
Year	F3	F5	F3	F5					
1272	19.203	19.203	19.288	19.257		1.1059239808	1.0979346774	1.1063313063	1.099621596
1273	19.21	19.205	19.297	19.259		1.1211284129	1.1022232997	1.1213184439	1.1032231899
1274	19.187	19.186	19.266	19.236		1.0711709932	1.0614813877	1.0696960809	1.0618048595
1275	19.148	19.163	19.216	19.208		0.9864605861	1.0121622311	0.9864342052	1.0113825443
1276	19.129	19.151	19.192	19.194		0.9451914133	0.9864304972	0.9464685049	0.9861713867
1277	19.151	19.168	19.22	19.214		0.9929767712	1.0228837868	0.9930951553	1.0221873261
1278	19.197	19.2	19.28	19.253		1.0928916105	1.0915017439	1.0930094061	1.0924184081
1279	19.235	19.233	19.329	19.292		1.1754299559	1.1622640121	1.1746060444	1.16264949
1280	19.251	19.252	19.35	19.314		1.2101829435	1.2030059242	1.2095760322	1.2022670235
1281	19.251	19.257	19.351	19.32		1.2101829435	1.2137274799	1.2112412697	1.2130718053
1282	19.247	19.252	19.345	19.314		1.2014946966	1.2030059242	1.2012498446	1.2022670235
1283	19.235	19.241	19.33	19.301		1.1754299559	1.1794185014	1.1762712819	1.1788566628
1284	19.219	19.222	19.308	19.278		1.1406769684	1.1386765894	1.1396360565	1.1374383324
1285	19.192	19.19	19.274	19.24		1.0820313019	1.0700586323	1.083017981	1.0690080474
1286	19.143	19.14	19.21	19.181		0.9756002775	0.9628430744	0.9764427801	0.962761026
1287	19.073	19.082	19.118	19.112		0.8235559569	0.8384730272	0.8232409288	0.8385060348
